SCHOOL	GENDER	AGEYEAR	BIRTHMON	VISPERC	CUBES	LOZENGES	PARCOMP	SENCOMP	WORDMEAN	ADDITION	COUNTDOT	S-CCAPS		
0.	0.	13	2	20	31	3	7	23	9	78	115	229 
0.	1	13	8	32	21	17	5	12	9	87	125	285 
0.	1	13	2	27	21	15	3	7	3	75	78	159 
0.	0.	13	3	32	31	24	8	18	17	69	106	175 
0.	1	12	3	29	19	7	8	16	18	85	126	213 
0.	1	14	2	32	20	18	3	12	6	100	133	270 
0.	0.	12	2	17	24	8	10	24	20	108	124	175 
0.	1	12	3	34	25	15	11	17	9	78	103	132 
0.	1	13	1	27	23	12	8	23	19	104	93	265 
0.	1	12	6	21	21	6	8	20	18	95	91	157 
0.	0.	12	3	22	23	16	6	14	11	86	114	155 
0.	0.	12	12	35	24	23	8	18	19	85	103	149 
0.	1	12	8	34	18	33	8	16	16	135	104	211 
0.	1	12	9	36	22	14	14	16	11	118	94	160 
0.	0.	12	7	35	23	29	15	22	21	92	87	211 
0.	1	12	2	28	19	19	8	17	5	94	76	185 
0.	1	14	12	26	19	12	6	16	9	85	133	189 
0.	0.	13	6	30	27	18	6	10	12	92	105	196 
0.	1	12	9	34	21	32	13	21	26	90	97	207 
0.	1	12	4	38	35	24	11	15	18	80	107	177 
0.	0.	14	11	35	32	16	5	10	4	60	92	194 
0.	0.	12	10	40	34	33	6	13	15	103	109	252 
0.	0.	12	12	30	25	15	10	23	22	80	92	180 
0.	1	12	9	23	22	13	8	12	7	134	106	244 
0.	0.	12	4	34	22	10	7	15	9	108	92	149 
0.	0.	12	8	32	16	27	5	14	10	132	125	156 
0.	0.	12	9	33	21	36	8	9	5	95	102	163 
0.	1	13	3	36	20	17	5	12	8	65	111	159 
0.	1	12	6	28	24	34	6	12	14	118	117	310 
0.	1	12	3	30	18	6	8	13	13	107	97	196 
0.	1	12	8	21	23	11	6	14	13	111	139	215 
0.	0.	16	1	18	24	2	5	12	7	47	73	121 
0.	1	12	3	30	21	14	8	21	14	62	86	173 
0.	1	12	4	25	24	19	10	17	13	124	87	203 
0.	1	13	4	20	15	12	4	12	6	64	104	174 
0.	0.	13	11	29	21	4	5	19	10	72	75	177 
0.	0.	12	10	33	28	28	8	16	14	88	80	191 
0.	1	12	9	23	18	18	9	12	12	94	70	183 
0.	1	12	7	38	16	31	12	21	23	127	109	184 
0.	0.	12	6	35	31	20	9	21	22	74	90	176 
0.	1	12	2	23	23	13	8	17	15	113	102	167 
0.	1	13	7	19	20	10	5	17	11	65	106	172 
0.	1	13	9	11	21	8	5	15	4	91	95	100 
0.	0.	14	9	25	21	15	6	12	10	91	112	240 
0.	0.	14	3	38	22	22	14	22	14	124	100	247 
0.	0.	13	8	36	22	36	9	17	9	111	100	180 
0.	0.	13	6	43	34	32	2	4	7	77	127	226 
0.	1	13	7	19	19	11	8	13	9	141	160	196 
0.	0.	12	12	26	22	22	6	9	7	130	118	218 
0.	1	13	3	27	25	9	11	22	15	59	96	199 
0.	0.	13	8	33	23	30	5	9	1	54	101	198 
0.	0.	12	5	42	24	17	7	18	10	84	103	172 
0.	0.	15	8	23	30	26	2	6	1	75	84	194 
0.	0.	13	5	31	19	14	10	14	15	80	102	151 
0.	0.	12	9	30	24	33	6	18	15	96	96	159 
0.	0.	14	5	34	21	17	8	18	10	93	114	200 
0.	0.	16	3	24	19	26	5	12	12	96	105	203 
0.	0.	13	4	35	21	31	8	22	17	79	116	171 
0.	1	14	1	23	26	16	3	10	9	78	91	174 
0.	0.	15	4	25	23	14	4	12	7	81	123	142 
0.	1	12	6	32	23	27	12	22	18	121	124	221 
0.	1	12	10	24	24	29	8	20	15	113	107	172 
0.	1	12	11	32	27	11	5	10	5	61	77	192 
0.	1	13	12	32	20	10	10	18	17	127	109	210 
0.	1	13	2	22	23	29	8	20	10	76	90	181 
0.	1	12	12	39	24	20	11	18	21	131	108	227 
0.	0.	14	12	24	37	32	9	15	7	83	115	223 
0.	1	13	1	28	23	29	8	11	13	89	122	153 
0.	1	13	10	17	20	7	9	10	11	157	114	141 
0.	0.	12	9	28	20	6	13	16	19	109	119	195 
0.	1	14	3	4	18	6	6	12	7	83	110	166 
0.	0.	13	4	26	37	27	4	9	8	86	115	186 
0.	0.	13	2	30	18	21	5	11	11	121	147	215 
0.	0.	13	8	30	24	26	10	23	19	80	92	154 
0.	1	12	10	25	21	17	9	13	5	80	114	165 
0.	1	13	10	23	21	19	5	9	7	72	115	168 
0.	0.	12	7	34	28	17	12	19	16	130	114	233 
0.	0.	16	8	10	23	11	0.	6	8	131	80	203 
0.	1	14	8	38	22	33	12	13	13	128	147	207 
0.	0.	14	2	24	21	20	3	6	13	108	103	192 
0.	0.	14	12	27	24	14	5	8	11	135	129	217 
0.	0.	13	8	28	32	34	9	19	17	118	115	191 
0.	0.	14	6	29	33	18	1	9	4	123	104	208 
0.	1	13	3	29	26	14	7	14	5	133	115	179 
0.	1	14	8	18	21	5	3	6	7	114	97	165 
0.	1	12	12	38	25	20	10	23	26	106	137	197 
0.	1	13	9	33	28	23	8	16	6	94	108	215 
0.	1	13	4	32	24	22	12	20	15	127	91	185 
0.	1	13	12	20	29	26	4	5	4	82	111	176 
0.	1	13	11	33	20	18	11	18	12	96	119	240 
0.	0.	13	11	24	26	21	8	11	13	153	150	196 
0.	1	14	1	23	25	27	6	15	3	124	156	220 
0.	0.	15	5	31	19	17	3	8	11	82	128	206 
0.	0.	13	9	26	14	7	8	13	8	83	96	142 
0.	0.	14	11	25	22	7	14	19	15	95	107	136 
0.	0.	13	9	30	23	34	12	17	17	82	72	196 
0.	0.	13	5	26	19	4	10	23	20	127	117	152 
0.	1	13	3	45	30	17	16	27	19	118	111	260 
0.	1	13	12	30	15	11	5	11	10	128	122	166 
0.	0.	13	5	33	25	22	11	18	23	113	103	207 
0.	0.	15	4	37	15	35	8	13	7	98	106	225 
0.	1	13	11	39	26	15	11	15	12	104	88	237 
0.	0.	13	4	26	31	15	13	18	13	135	125	148 
0.	0.	13	5	28	21	13	10	18	20	88	97	174 
0.	0.	15	4	41	36	35	8	23	35	69	124	217 
0.	1	12	11	27	26	25	8	22	15	146	130	222 
0.	1	13	6	41	26	6	16	23	22	171	114	187 
0.	1	13	11	33	27	30	8	11	14	96	136	252 
0.	1	14	6	38	22	13	17	22	28	131	128	271 
0.	1	13	4	25	17	18	10	14	10	103	83	121 
0.	0.	13	5	34	37	35	11	19	21	75	78	175 
0.	1	13	2	38	21	21	13	17	11	66	120	196 
0.	0.	13	5	37	25	34	15	14	13	105	107	196 
0.	1	14	1	31	26	14	12	21	13	108	86	216 
0.	0.	14	6	25	30	31	3	8	6	82	79	228 
0.	1	13	2	25	23	8	11	19	13	111	117	195 
0.	0.	16	1	31	23	20	8	19	19	122	137	180 
0.	0.	13	11	26	21	32	9	11	7	128	132	232 
0.	0.	13	5	21	29	27	7	9	8	85	104	186 
0.	0.	16	6	28	19	13	8	13	14	94	111	196 
0.	1	14	5	29	24	12	8	17	9	134	128	247 
0.	0.	15	2	30	22	19	10	12	14	106	128	119 
0.	1	14	5	45	28	34	12	26	25	86	152	234 
0.	1	15	9	32	21	33	7	15	11	84	107	172 
0.	0.	14	6	37	27	33	10	20	20	115	138	230 
0.	1	15	5	32	35	25	13	16	8	92	139	204 
0.	1	13	12	26	28	8	13	22	21	118	113	177 
0.	1	13	12	29	28	9	10	20	16	113	105	179 
0.	1	13	5	36	30	26	9	24	17	76	102	208 
0.	0.	14	2	30	18	13	6	11	4	104	125	227 
0.	0.	13	12	25	32	35	13	25	22	105	156	252 
0.	1	14	2	34	22	28	12	17	16	167	127	259 
0.	1	15	4	30	25	14	4	8	4	113	120	173 
0.	1	13	7	21	21	18	6	15	13	108	105	134 
0.	0.	14	8	44	32	21	8	20	17	79	120	222 
0.	0.	13	5	37	30	29	12	25	18	101	117	220 
0.	0.	13	11	29	21	36	13	23	20	77	102	196 
0.	0.	13	3	34	25	22	10	21	15	102	103	164 
0.	1	14	3	33	27	36	7	18	18	144	131	248 
0.	1	14	8	31	20	20	10	23	21	148	166	255 
0.	1	14	1	19	15	12	10	23	16	139	105	224 
0.	1	14	10	30	30	36	6	6	3	76	105	206 
0.	0.	15	1	43	36	31	11	21	33	88	142	208 
0.	1	12	10	44	27	32	18	26	43	123	115	238 
0.	1	15	9	12	22	5	8	20	6	55	112	215 
0.	1	13	7	23	22	15	11	20	21	129	98	139 
0.	1	13	9	25	24	10	12	20	18	160	125	227 
0.	1	15	9	28	23	13	2	10	10	104	100	171 
0.	0.	14	5	35	19	21	17	22	29	82	126	197 
0.	0.	15	2	40	22	35	8	15	7	118	95	188 
0.	0.	13	12	41	29	34	15	23	34	130	151	222 
0.	0.	15	6	32	19	21	9	22	15	133	158	250 
0.	0.	14	2	29	20	19	9	17	17	124	150	195 
0.	1	15	2	31	24	19	4	9	8	124	123	187 
0.	1	15	8	38	27	9	9	10	10	108	112	149 
0.	1	15	7	29	23	10	9	19	15	83	123	169 
1	0.	13	1	23	19	4	10	17	10	69	82	156 
1	1	11	11	33	22	17	8	17	10	65	98	195 
1	0.	12	7	34	24	22	11	19	19	50	86	228 
1	0.	11	12	29	23	9	9	19	11	114	103	144 
1	0.	12	6	16	25	10	8	25	24	112	122	160 
1	1	12	7	30	25	20	10	23	18	94	113	201 
1	1	12	9	36	33	36	17	25	41	129	139	333 
1	1	11	12	28	25	9	10	18	11	96	95	174 
1	1	12	6	30	25	11	11	21	8	103	114	197 
1	1	12	6	20	25	6	9	21	16	89	101	178 
1	0.	12	1	27	26	6	10	16	13	88	107	137 
1	0.	12	11	32	21	8	1	7	11	103	136	154 
1	0.	12	10	38	31	12	10	11	14	83	108	201 
1	1	12	9	17	21	6	5	10	10	99	87	147 
1	0.	12	10	34	28	24	14	22	26	49	84	171 
1	0.	13	2	25	31	18	7	12	11	65	80	125 
1	1	12	2	33	31	30	11	23	18	66	113	186 
1	0.	13	2	40	23	20	10	23	35	72	104	222 
1	1	12	8	30	22	20	8	17	20	95	110	161 
1	1	12	2	36	28	22	13	24	36	82	103	205 
1	0.	12	10	24	16	14	5	17	11	106	80	118 
1	0.	12	9	40	26	26	13	24	25	88	121	225 
1	1	12	7	30	24	19	14	26	24	112	115	185 
1	0.	14	1	42	27	27	7	13	4	126	200	236 
1	1	12	4	33	27	16	8	17	13	68	116	219 
1	1	12	5	32	22	15	9	20	17	74	118	191 
1	0.	12	10	31	21	5	13	19	19	96	121	180 
1	1	14	8	27	23	4	9	11	7	55	118	178 
1	0.	13	3	31	23	11	4	16	16	81	128	189 
1	0.	12	6	31	34	3	9	19	17	51	92	182 
1	1	12	1	17	30	13	9	17	13	52	94	143 
1	0.	12	1	30	20	13	9	20	21	108	113	180 
1	0.	12	7	28	19	8	9	14	20	81	116	159 
1	0.	13	3	19	22	8	5	12	4	50	72	162 
1	0.	12	1	28	20	14	8	15	8	100	144	205 
1	1	12	11	38	25	13	9	23	15	56	130	198 
1	1	11	12	34	28	10	9	22	20	81	96	199 
1	1	13	9	18	22	5	2	4	2	30	61	112 
1	1	12	8	16	20	8	6	18	13	93	111	185 
1	1	12	5	18	30	17	19	24	33	92	108	148 
1	1	12	7	32	21	9	15	20	25	95	92	178 
1	0.	12	7	34	21	9	9	23	24	58	91	173 
1	0.	12	2	21	22	8	9	12	8	65	84	137 
1	1	12	10	28	20	14	8	18	10	61	100	214 
1	1	12	4	39	24	25	14	17	11	82	104	244 
1	1	12	5	32	26	10	11	23	23	62	83	143 
1	1	12	11	28	24	8	6	10	10	61	77	159 
1	0.	12	6	24	20	22	11	19	18	71	94	154 
1	1	11	12	31	19	13	8	22	17	61	70	120 
1	1	12	9	29	26	25	10	22	18	85	128	202 
1	0.	11	12	29	30	15	7	16	12	64	74	165 
1	0.	14	2	16	23	5	7	20	13	95	128	137 
1	1	12	5	25	25	26	5	7	5	46	72	121 
1	0.	13	3	25	27	15	6	16	13	86	99	214 
1	1	12	4	37	31	16	14	28	20	88	114	223 
1	1	12	12	30	26	19	7	21	14	89	121	222 
1	0.	11	6	29	24	10	9	21	17	100	121	206 
1	1	12	5	37	34	17	18	24	27	80	112	229 
1	1	12	1	28	20	4	8	18	6	73	84	161 
1	0.	13	12	22	34	19	10	17	15	80	101	185 
1	1	12	5	38	21	18	18	26	31	120	109	205 
1	0.	12	10	29	21	18	7	16	7	67	88	180 
1	0.	12	11	25	25	30	9	16	16	106	127	175 
1	1	13	8	28	27	13	5	6	4	101	106	172 
1	0.	13	3	23	20	18	6	12	6	43	100	145 
1	1	14	1	11	20	9	13	16	15	73	73	130 
1	1	12	12	45	37	29	10	16	16	73	101	220 
1	1	13	1	19	15	7	15	19	19	101	112	116 
1	1	12	9	41	21	11	9	16	14	124	119	220 
1	0.	12	4	35	30	33	8	15	12	90	126	242 
1	1	12	1	34	24	16	9	14	10	89	116	236 
1	0.	13	3	19	22	12	10	16	17	118	116	252 
1	0.	12	8	25	21	15	8	17	17	68	82	170 
1	0.	11	5	36	28	33	15	24	39	81	104	210 
1	1	14	1	19	23	6	7	13	19	68	97	149 
1	1	12	10	27	21	7	9	19	22	88	109	191 
1	1	12	6	21	9	14	15	25	30	68	91	181 
1	0.	12	10	27	22	32	8	13	13	56	75	177 
1	1	12	8	26	22	8	5	11	11	76	114	156 
1	0.	14	3	20	27	15	9	19	11	130	105	241 
1	1	13	2	33	22	14	13	25	26	84	127	230 
1	1	12	12	38	26	7	16	25	15	109	111	200 
1	1	13	3	33	25	34	15	23	21	109	143	246 
1	0.	13	7	36	29	16	9	23	23	149	156	247 
1	0.	13	10	38	29	35	13	22	17	112	126	227 
1	1	13	3	31	25	28	10	25	27	103	98	168 
1	1	13	2	36	28	13	11	23	18	134	102	224 
1	0.	13	9	31	26	29	11	26	12	85	99	189 
1	1	14	3	28	24	6	8	17	15	92	95	215 
1	0.	13	9	38	37	28	10	19	19	110	135	199 
1	0.	13	7	29	34	22	10	20	19	84	132	147 
1	0.	13	8	35	24	15	12	20	23	92	125	232 
