ANOMIA67	POWERL67	ANOMIA71	POWERL71	EDUC	SEI		
13.197	14.181	17.632	16.355	12.176	5.186 
18.031	17.068	13.057	13.598	11.95	2.637 
14.784	12.04	15.374	12.906	13.634	5.927 
19.895	19.79	16.681	16.742	5.606	0.838 
14.041	15.45	17.596	12.048	14.022	2.499 
13.253	17.444	15.299	14.762	10.267	1.878 
12.268	10.371	10.69	9.262	14.758	6.316 
8.65	13.76	15.663	15.525	10.452	4.66 
19.62	18.355	16.13	18.612	11.328	3.56 
9.545	9.874000000000001	9.557	11.646	13.343	5.741 
7.878	11.994	10.74	11.214	11.519	6.01 
13.263	10.361	18.452	18.164	9.045999999999999	1.329 
19.165	16.157	16.645	16.286	9.307	3.179 
13.679	14.809	16.465	13.428	9.185	3.578 
15.093	17.511	15.482	15.002	9.919	5.589 
15.247	13.809	19.403	18.627	6.442	3.387 
11.742	14.554	14.964	13.45	10.304	4.531 
18.418	18.286	14.998	10.894	9.382	1.481 
15.062	13.563	19.518	15.332	9.782999999999999	4.667 
14.922	17.007	9.535	15.281	13.274	5.542 
15.82	19.199	16.939	19.466	9.298	3.581 
19.496	16.452	21.672	16.661	12.545	4.442 
9.862	9.202999999999999	1.574	8.23	16.563	5.078 
15.923	16.017	13.899	16.274	8.784000000000001	3.452 
20.401	15.709	21.372	19.647	9.695	3.041 
11.071	15.285	11.409	14.125	11.546	3.928 
9.795	13.374	16.455	16.227	9.337	2.328 
8.676	10.838	7.489	7.663	11.066	4.62 
7.118	9.377000000000001	14.281	15.74	12.613	5.494 
18.908	17.417	17.727	22.037	5.849	1.637 
19.578	18.816	14.971	14.668	14.064	5.247 
13.67	14.989	13.412	18.326	12.389	4.632 
12.544	12.883	20.743	19.93	10.981	1.416 
13.43	10.388	9.951000000000001	12.927	16.044	5.795 
4.709	8.49	12.152	12.255	17.803	8.750999999999999 
7.172	11.38	12.512	13.329	16.134	4.677 
14.484	19.526	16.87	21.846	2.798	0.965 
12.456	11.09	12.242	9.465999999999999	8.332000000000001	3.594 
16.719	15.938	13.47	16.501	5.899	8.9E-02 
5.635	8.677	9.792	10.381	12.243	3.018 
10.151	17.096	16.304	17.555	7.133	3.351 
6.537	15.234	7.101	11.011	11.211	6.021 
15.685	17.154	15.647	17.382	9.6	2.166 
11.816	13.046	15.872	17.867	8.422000000000001	1.461 
16.489	15.069	13.722	15.258	9.052	3.653 
14.962	18.899	15.64	15.03	11.475	5.214 
19.199	20.813	22.199	22.263	4.278	2.449 
15.174	17.664	16.118	16.49	9.131	3.551 
8.542999999999999	12.423	10.996	14.141	10.577	4.134 
12.015	11.147	16.124	21.059	9.19	2.907 
14.745	17.598	18.303	18.794	7.932	2.956 
12.563	13.125	17.276	21.161	9.747999999999999	0.624 
20.158	26.181	15.565	17.257	7.242	2.456 
9.333	14.713	9.217000000000001	13.523	8.561	1.335 
10.936	12.673	9.378	14.546	11.676	1.841 
10.744	16.217	20.204	21.571	7.991	5.617 
15.205	14.863	12.859	14.832	8.401999999999999	2.177 
11.677	10.892	9.042	15.281	9.019	0.347 
10.651	11.272	6.536	10.922	15.863	5.408 
13.476	17.834	16.352	21.863	8.378	1.183 
15.002	15.462	17.95	16.5	13.395	1.263 
16.259	18.59	12.436	18.615	10.97	6.465 
11.869	10.471	12.956	9.246	11.199	4.466 
12.907	15.482	15.027	12.724	12.044	9.314 
9.372	9.932	12.052	8.955	8.827999999999999	6.316 
15.164	12.571	16.868	15.211	13.657	6.475 
10.556	9.375999999999999	10.729	12.196	13.519	4.185 
17.308	17.461	17.935	19.982	8.923999999999999	3.589 
17.848	17.236	19.608	20.17	8.343	3.538 
16.542	21.384	18.851	21.049	7.69	-0.742 
17.789	19.893	17.204	19.013	12.735	5.492 
12.168	15.103	12.142	12.336	14.662	2.038 
25.121	16.352	20.72	17.498	14.324	4.936 
15.554	16.011	13.707	15.257	11.297	4.378 
17.565	19.262	16.513	13.437	3.904	3.33 
17.194	14.271	17.096	17.75	10.157	2.604 
15.404	17.628	14.09	17.907	12.728	5.857 
14.503	19.177	14.583	16.337	12.679	4.218 
7.276	14.563	14.223	16.004	8.808	4.226 
21.728	17.565	17.458	19.736	5.076	2.325 
12.86	18.352	13.077	16.55	14.157	8.750999999999999 
12.524	12.226	18.622	16.54	12.055	5.491 
13.439	17.113	12.169	13.329	9.394	7.287 
12.621	17.479	13.966	10.94	9.167999999999999	2.387 
13.216	13.379	15.168	10.883	13.562	2.916 
11.343	13.902	12.459	13.233	12.15	4.755 
13.337	14.379	15.766	15.362	14.25	3.012 
16.875	11.781	13.302	13.795	10.25	0.339 
15.866	20.499	18.397	19.682	10.949	1.951 
10.998	14.178	18.955	14.98	12.547	3.201 
12.534	16.064	9.218	11.068	12.658	6.488 
8.218999999999999	14.302	12.054	15.853	12.244	2.312 
13.29	16.408	12.531	14.88	9.592000000000001	3.765 
15.831	12.482	18.407	13.122	13.033	7.608 
19.306	19.285	19.695	18.784	9.023	3.604 
13.188	13.467	14.48	17.888	13.492	1.752 
17.948	16.417	15.416	16.962	10.571	3.786 
17.477	19.421	15.072	18.371	7.674	0.858 
15.5	17.914	14.245	12.67	7.247	1.984 
19.944	18.986	13.4	11.348	5.234	0.504 
14.181	14.366	14.46	11.876	7.905	1.585 
14.332	13.616	16.057	14.643	6.804	1.515 
18.053	16.137	19.178	20.343	9.707000000000001	1.E-02 
10.166	9.712999999999999	13.195	13.307	11.985	4.249 
12.869	15.169	10.742	12.316	10.189	6.37 
18.139	15.464	16.737	15.769	7.76	2.259 
16.804	16.71	15.172	16.786	11.574	7.985 
16.053	19.818	14.992	19.442	10.657	1.704 
16.077	18.893	19.052	23.778	7.674	1.202 
9.391999999999999	10.86	10.128	8.881	8.112	2.343 
16.964	20.131	16.179	18.058	8.164	2.099 
21.886	20.528	20.14	18.175	6.189	3.065 
13.494	12.143	9.500999999999999	11.011	12.926	3.883 
13.142	17.708	11.973	13.857	10.921	4.808 
17.46	21.366	14.848	13.73	14.465	0.8070000000000001 
13.781	14.91	11.647	16.228	10.857	4.873 
18.161	22.514	12.831	18.202	7.77	3.817 
12.127	13.988	11.267	14.311	14.979	6.203 
20.337	17.561	18.802	18.473	6.414	1.561 
11.942	14.905	8.975	15.191	11.111	5.915 
12.717	15.974	14.393	12.926	11.171	5.751 
10.529	13.01	11.82	12.507	16.287	3.135 
12.841	10.84	13.092	10.943	17.109	6.712 
9.977	9.231	11.471	9.632999999999999	15.329	4.975 
14.294	12.481	11.737	8.762	14.131	4.488 
10.073	8.444000000000001	11.646	13.261	12.243	7.011 
19.032	18.48	16.825	17.645	14.962	4.045 
16.733	15.28	14.661	12.691	8.750999999999999	2.404 
15.467	14.152	18.74	17.846	11.006	7.405 
9.912000000000001	15.973	13.062	15.459	11.083	3.006 
8.702	10.229	12.508	10.971	11.476	6.134 
11.612	14.865	14.847	13.965	11.886	3.637 
16.125	16.163	14.54	14.061	7.275	2.217 
13.902	19.762	16.996	16.043	9.875	4.968 
13.55	17.091	18.241	17.322	10.013	2.226 
13.272	16.555	15.482	16.733	7.788	0.35 
15.34	14.874	17.564	17.928	11.077	0.547 
16.905	17.315	21.069	18.014	13.374	3.359 
13.615	14.76	22.194	21.911	6.286	3.164 
15.435	16.447	15.045	11.905	9.015000000000001	5.508 
17.675	15.707	14.976	16.575	7.478	2.743 
16.503	17.164	14.104	14.33	13.228	2.257 
11.377	16.31	15.112	15.959	12.047	3.528 
13.79	14.091	17.377	16.575	7.508	0.57 
16.005	20.707	12.562	19.218	7.828	-2.059 
7.062	9.595000000000001	10.452	9.875999999999999	16.294	2.504 
18.01	18.825	15.856	16.931	9.672000000000001	3.133 
13.827	12.411	10.174	8.519	15.635	5.84 
15.982	15.889	16.509	17.694	9.148	2.006 
16.919	16.937	17.3	18.201	12.912	3.415 
15.113	18.143	14.241	13.55	7.487	2.442 
14.06	14.571	10.276	7.784	7.479	3.109 
17.147	18.51	13.825	17.282	6.382	4.064 
10.611	13.455	8.381	13.232	13.754	4.131 
10.515	12.542	5.739	12.398	11.738	7.862 
14.912	12.694	16.227	20.488	5.564	4.123 
13.652	15.809	13.889	11.785	7.303	0.597 
14.982	13.386	9.846	15.524	12.578	1.776 
16.979	15.832	18.156	16.703	4.443	4.651 
16.041	20.312	17.105	17.763	5.288	1.5 
10.624	16.017	9.218999999999999	15.29	9.699	5.908 
10.985	12.991	12.14	11.572	14.143	6.012 
15.663	15.54	13.753	14.674	10.885	2.758 
8.515000000000001	11.58	11.945	15.492	9.999000000000001	2.121 
16.476	16.648	16.296	13.131	12.386	2.492 
14.389	16.1	13.281	20.297	9.916	4.608 
14.013	16.399	16.796	15.363	12.562	7.512 
17.731	16.221	16.303	15.611	4.964	0.794 
15.608	15.471	9.045	11.263	7.89	3.496 
9.564	13.197	10.357	14.296	14.29	6.762 
13.513	14.665	13.882	17.116	10.924	3.086 
14.351	13.283	13.782	16.627	15.512	3.744 
17.75	15.418	16.968	16.305	16.94	5.65 
7.84	15.361	6.47	12.494	12.246	3.634 
11.132	14.813	14.723	15.53	7.499	4.858 
17.275	17.617	18.697	21.058	13.72	3.463 
17.425	18.165	15.383	19.156	6.716	3.485 
18.096	16.141	16.363	18.339	5.629	2.752 
7.374	11.339	10.716	17.186	13.555	7.397 
21.12	20.147	21.334	18.981	7.236	1.477 
18.184	16.992	11.69	14.538	7.747	2.13 
17.53	16.456	16.272	16.546	9.843	3.62 
10.91	13.326	9.098000000000001	7.453	13.706	4.697 
15.97	17.395	9.525	13.499	6.651	2.048 
12.158	11.473	12.465	15.128	12.985	6.773 
11.12	12.949	13.155	11.974	12.458	7.63 
16.198	18.283	13.059	19.13	9.663	3.467 
9.124000000000001	10.301	12.159	12.251	7.416	4.385 
8.372	11.672	10.773	9.927	10.682	4.313 
10.416	13.275	15.481	14.322	11.248	4.533 
15.947	12.281	13.762	12.886	14.558	4.635 
13.17	13.055	15.152	15.78	10.869	5.559 
16.149	15.247	18.196	16.002	10.654	4.862 
14.2	12.533	15.168	15.022	12.135	5.032 
18.298	20.096	19.74	19.859	7.158	2.618 
